0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:11:56 +0900] "GET /brd/vendor/jquery/jquery.min.js HTTP/1.1" 200 5424
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:16 +0900] "GET / HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/pageList HTTP/1.1" 200 65381
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/img/undraw_profile_1.svg HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/img/undraw_profile_2.svg HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/img/undraw_profile_3.svg HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/img/undraw_profile.svg HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/vendor/jquery/jquery.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/js/sb-admin-2.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /brd/js/demo/datatables-demo.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:18 +0900] "GET /_fileUpload/_th_1695744668285_keyboard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/count?bno=26 HTTP/1.1" 200 26697
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/img/undraw_profile_1.svg HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/img/undraw_profile_2.svg HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/img/undraw_profile_3.svg HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/img/undraw_profile.svg HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/vendor/jquery/jquery.min.js HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/js/sb-admin-2.min.js HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/vendor/chart.js/Chart.min.js HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/js/demo/chart-pie-demo.js HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/js/demo/chart-area-demo.js HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /brd/js/demo/chart-bar-demo.js HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /_fileUpload/1695744668285_keyboard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:20 +0900] "GET /cmt/list/26 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:28 +0900] "GET /brd/modify?bno=26 HTTP/1.1" 200 5636
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:28 +0900] "GET /brd/vendor/jquery/jquery.min.js HTTP/1.1" 200 5545
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:28 +0900] "GET /brd/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 5545
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:28 +0900] "GET /brd/js/sb-admin-2.min.js HTTP/1.1" 200 5545
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:28 +0900] "GET /brd/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 5545
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "POST /brd/edit HTTP/1.1" 200 65299
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/img/undraw_profile_2.svg HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/img/undraw_profile_1.svg HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/img/undraw_profile_3.svg HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/img/undraw_profile.svg HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/vendor/jquery/jquery.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/js/sb-admin-2.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/js/demo/datatables-demo.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:37 +0900] "GET /brd/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 60462
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:43 +0900] "GET /brd/count?bno=26 HTTP/1.1" 200 26546
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:43 +0900] "GET /brd/img/undraw_profile_1.svg HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [27/Sep/2023:01:16:43 +0900] "GET /brd/img/undraw_profile_2.svg HTTP/1.1" 200 26222
